#     Step          Temp           Pot           Kin           Tot         Press
       384      0.811215      -1.28291      0.709814     -0.573098    -0.0177207
       385      0.809001      -1.28097      0.707876     -0.573095   -0.00553392
       386      0.807362      -1.27953      0.706441     -0.573094    0.00478251
       387      0.806331      -1.27863       0.70554     -0.573092     0.0131293
       388       0.80593      -1.27828      0.705189     -0.573092     0.0194461
       389      0.806168      -1.27849      0.705397     -0.573092     0.0237141
       390      0.807077      -1.27929      0.706192     -0.573099     0.0259102
       391      0.808641      -1.28066      0.707561     -0.573101     0.0261187
       392      0.810796      -1.28255      0.709447     -0.573103     0.0244703
       393      0.813501      -1.28492      0.711814     -0.573106     0.0211104
       394      0.816705      -1.28773      0.714617      -0.57311     0.0162212
       395      0.820346      -1.29092      0.717803     -0.573114     0.0100182
       396      0.824353      -1.29443      0.721309     -0.573119    0.00274716
       397      0.828648      -1.29819      0.725067     -0.573124   -0.00532074
       398      0.833145      -1.30213      0.729001     -0.573129    -0.0138927
       399      0.837753      -1.30617      0.733034     -0.573135    -0.0226589
       400      0.842379      -1.31022      0.737082     -0.573141    -0.0312968
       401      0.846926      -1.31421       0.74106     -0.573147    -0.0394756
       402      0.851293      -1.31803      0.744881     -0.573153    -0.0468602
       403      0.855381      -1.32162      0.748458     -0.573159    -0.0531155
       404      0.859091      -1.32487      0.751704     -0.573165    -0.0579099
       405      0.862325      -1.32771      0.754534     -0.573171    -0.0609191
       406      0.864987      -1.33004      0.756864     -0.573177    -0.0618299
       407      0.866986       -1.3318      0.758612     -0.573183    -0.0603434
       408      0.868232      -1.33289      0.759703     -0.573188    -0.0561792
       409      0.868644      -1.33326      0.760063     -0.573193    -0.0490785
       410      0.868144      -1.33282      0.759626     -0.573198    -0.0388088
       411      0.866664      -1.33153      0.758331     -0.573203     -0.025168
       412      0.864143      -1.32933      0.756125     -0.573207   -0.00798882
       413      0.860532      -1.32618      0.752965      -0.57321     0.0128554
       414      0.855794      -1.32203      0.748819     -0.573213     0.0374457
       415      0.849905      -1.31688      0.743667     -0.573215     0.0658115
       416      0.842859      -1.31072      0.737502     -0.573215     0.0979243
       417      0.834667      -1.30355      0.730334     -0.573215      0.133692
       418      0.825361       -1.2954      0.722191     -0.573214      0.172951
       419      0.814996      -1.28633      0.713121     -0.573211      0.215464
       420      0.803649       -1.2764      0.703193     -0.573207      0.260913
       421      0.791425       -1.2657      0.692497     -0.573201      0.308894
       422      0.778456      -1.25434      0.681149     -0.573194      0.358919
       423        0.7649      -1.24247      0.669288     -0.573185      0.410416
       424      0.750942      -1.23025      0.657074     -0.573174      0.462727
       425      0.736791      -1.21785      0.644692     -0.573163      0.515121
       426       0.72268       -1.2055      0.632345      -0.57315      0.566797
       427      0.708862      -1.19339      0.620254     -0.573136      0.616904
       428        0.6956      -1.18177       0.60865     -0.573122      0.664548
       429      0.683169      -1.17088      0.597773     -0.573107       0.70882
       430      0.671844      -1.16096      0.587863     -0.573093      0.748816
       431      0.661891      -1.15223      0.579155     -0.573079      0.783657
       432      0.653564      -1.14494      0.571869     -0.573067      0.812523
       433      0.647093      -1.13926      0.566207     -0.573056      0.834671
       434      0.642748      -1.13545      0.562404     -0.573047      0.849399
       435      0.640695      -1.13365      0.560609      -0.57304      0.856179
       436      0.640984       -1.1339      0.560861     -0.573037      0.854718
       437      0.643677      -1.13625      0.563218     -0.573036      0.844824
       438      0.648788      -1.14073       0.56769     -0.573038      0.826476
       439      0.656274      -1.14728       0.57424     -0.573043      0.799828
       440      0.666041      -1.15584      0.582786     -0.573051      0.765206
       441      0.677945      -1.16626      0.593202     -0.573061      0.723098
       442      0.691798       -1.1784      0.605323     -0.573073      0.674135
       443      0.707377      -1.19204      0.618955     -0.573087      0.619067
       444      0.724431      -1.20698      0.633877     -0.573101      0.558743
       445      0.742688      -1.22297      0.649852     -0.573116      0.494076
       446      0.761871      -1.23977      0.666637      -0.57313      0.426018
       447      0.781699      -1.25713      0.683986     -0.573144      0.355531
       448      0.801899      -1.27482      0.701662     -0.573157      0.283559
       449      0.822216      -1.29261      0.719439     -0.573169      0.211007
       450      0.842413      -1.31029      0.737111     -0.573179      0.138722
       451      0.862278      -1.32768      0.754493     -0.573188     0.0674824
       452      0.881625      -1.34462      0.771422     -0.573195   -0.00201819
       453      0.900299      -1.36096      0.787762       -0.5732    -0.0691695
       454       0.91817       -1.3766      0.803399     -0.573204     -0.133449
