#     Step          Temp           Pot           Kin           Tot         Press
       306       133.601      -1.30099       0.39455      -0.90644     0.0135794
       307       133.585      -1.30094      0.394505     -0.906438     0.0135874
       308       133.496      -1.30068      0.394242     -0.906435     0.0136148
       309       133.346      -1.30023      0.393798     -0.906433     0.0136486
       310       133.147      -1.29964       0.39321      -0.90643     0.0137131
       311       132.912      -1.29894      0.392515     -0.906428     0.0137856
       312       132.651      -1.29817      0.391745     -0.906427     0.0138662
       313       132.374      -1.29735      0.390926     -0.906426     0.0139443
       314       132.086       -1.2965      0.390078     -0.906426     0.0140247
       315       131.791      -1.29563      0.389206     -0.906426     0.0141276
       316       131.488      -1.29474       0.38831     -0.906427     0.0142298
       317       131.173      -1.29381      0.387382     -0.906429     0.0143478
       318       130.845      -1.29284      0.386412     -0.906429     0.0144643
       319       130.498      -1.29182      0.385389      -0.90643     0.0145893
       320       130.133      -1.29074      0.384309      -0.90643     0.0147163
       321       129.749       -1.2896      0.383176     -0.906429     0.0148477
       322       129.351      -1.28843      0.382001     -0.906429     0.0149757
       323       128.947      -1.28723      0.380806     -0.906427     0.0151076
       324       128.545      -1.28605      0.379621     -0.906425     0.0152388
       325        128.16      -1.28491      0.378484     -0.906422     0.0153542
       326       127.806      -1.28386      0.377437     -0.906419      0.015466
       327       127.497      -1.28294      0.376525     -0.906416     0.0155653
       328       127.247       -1.2822      0.375786     -0.906414     0.0156548
       329       127.067      -1.28167      0.375254     -0.906412      0.015723
       330       126.965      -1.28137      0.374954     -0.906411     0.0157595
       331       126.947      -1.28131        0.3749     -0.906411     0.0157727
       332       127.013      -1.28151      0.375095     -0.906411     0.0157654
       333        127.16      -1.28194       0.37553     -0.906412     0.0157268
       334       127.383       -1.2826      0.376188     -0.906413     0.0156614
       335       127.674      -1.28346      0.377047     -0.906415     0.0155794
       336       128.023      -1.28449      0.378077     -0.906416     0.0154766
       337       128.421      -1.28567      0.379253     -0.906419     0.0153603
       338       128.859      -1.28697      0.380548      -0.90642     0.0152314
       339        129.33      -1.28836      0.381937     -0.906422     0.0150887
       340       129.826      -1.28982      0.383402     -0.906422     0.0149342
       341       130.342      -1.29135      0.384926     -0.906422     0.0147692
       342       130.875      -1.29292        0.3865     -0.906423     0.0145917
       343       131.422      -1.29454      0.388117     -0.906421     0.0144126
       344       131.982      -1.29619      0.389771     -0.906422      0.014226
       345       132.553      -1.29788      0.391456     -0.906422     0.0140361
       346       133.133      -1.29959      0.393168     -0.906422     0.0138502
       347       133.718      -1.30132      0.394896     -0.906422       0.01365
       348       134.304      -1.30305      0.396628     -0.906422     0.0134549
       349       134.887      -1.30477      0.398349     -0.906423     0.0132632
       350        135.46      -1.30647      0.400042     -0.906424     0.0130687
       351       136.016      -1.30811      0.401683     -0.906426     0.0128771
       352       136.547      -1.30968       0.40325     -0.906427     0.0127071
       353       137.044      -1.31115      0.404718     -0.906428     0.0125417
       354       137.498      -1.31249      0.406059      -0.90643      0.012377
       355       137.901      -1.31368      0.407249     -0.906431     0.0122302
       356       138.244       -1.3147      0.408264     -0.906433     0.0120987
       357       138.521      -1.31552      0.409082     -0.906433     0.0119863
       358       138.727      -1.31612       0.40969     -0.906434     0.0118894
       359       138.859      -1.31651      0.410078     -0.906434      0.011827
       360       138.915      -1.31668      0.410245     -0.906434     0.0117846
       361       138.899      -1.31663      0.410197     -0.906433     0.0117554
       362       138.814      -1.31638      0.409947     -0.906431     0.0117431
       363       138.669      -1.31595      0.409518     -0.906429     0.0117621
       364       138.473      -1.31537      0.408939     -0.906427     0.0117871
       365       138.238      -1.31467      0.408244     -0.906424     0.0118298
       366       137.977       -1.3139      0.407475     -0.906422     0.0118832
       367       137.706      -1.31309      0.406673     -0.906418     0.0119372
       368       137.439       -1.3123      0.405884     -0.906415     0.0120006
       369       137.191      -1.31156      0.405153     -0.906412     0.0120501
       370       136.977      -1.31093       0.40452      -0.90641     0.0121031
       371       136.807      -1.31043       0.40402     -0.906408     0.0121336
       372       136.693      -1.31009      0.403681     -0.906407     0.0121589
       373       136.639      -1.30993      0.403523     -0.906406      0.012177
       374        136.65      -1.30996      0.403554     -0.906406     0.0121678
       375       136.723      -1.31018      0.403772     -0.906407     0.0121574
       376       136.856      -1.31057      0.404163     -0.906409     0.0121292
       377       137.039      -1.31112      0.404704     -0.906411     0.0120883
       378       137.262      -1.31178      0.405363     -0.906414     0.0120441
       379       137.512      -1.31252        0.4061     -0.906416     0.0119984
       380       137.773      -1.31329      0.406873     -0.906419      0.011945
       381       138.033      -1.31406       0.40764     -0.906422     0.0118959
       382       138.276      -1.31478      0.408358     -0.906424     0.0118466
       383       138.489      -1.31541      0.408987     -0.906426     0.0118039
       384        138.66      -1.31592      0.409492     -0.906428     0.0117741
       385       138.779      -1.31627      0.409844     -0.906429     0.0117615
       386        138.84      -1.31645      0.410023      -0.90643      0.011776
       387       138.837      -1.31644      0.410014      -0.90643     0.0118124
       388       138.768      -1.31624      0.409812     -0.906431     0.0118582
       389       138.634      -1.31585      0.409416      -0.90643     0.0119297
       390       138.438      -1.31526      0.408835     -0.906429     0.0120162
       391       138.184      -1.31451      0.408086     -0.906428      0.012118
       392       137.881      -1.31362       0.40719     -0.906426     0.0122348
       393       137.536       -1.3126      0.406172     -0.906424      0.012366
       394       137.159      -1.31148      0.405058     -0.906423     0.0125044
       395       136.759       -1.3103      0.403878     -0.906421     0.0126555
       396       136.346      -1.30908      0.402659     -0.906419     0.0128071
       397       135.929      -1.30784      0.401426     -0.906419     0.0129618
       398       135.513      -1.30662      0.400198     -0.906418     0.0131261
       399       135.105      -1.30541      0.398992     -0.906417     0.0132919
       400       134.707      -1.30423      0.397817     -0.906417     0.0134451
       401       134.322       -1.3031       0.39668     -0.906418     0.0136014
       402       133.949        -1.302      0.395579     -0.906419     0.0137608
       403       133.587      -1.30093      0.394509     -0.906419     0.0139123
       404       133.231      -1.29988       0.39346      -0.90642     0.0140566
       405       132.878      -1.29884      0.392415     -0.906422     0.0142178
       406       132.518      -1.29778      0.391353     -0.906424      0.014373
       407       132.144      -1.29667      0.390249     -0.906425      0.014539
       408       131.748      -1.29551      0.389078     -0.906428     0.0147013
       409       131.318      -1.29424       0.38781      -0.90643     0.0148752
       410       130.848      -1.29285      0.386421     -0.906431     0.0150542
       411       130.329      -1.29132      0.384889     -0.906433     0.0152513
       412       129.758      -1.28963      0.383201     -0.906433     0.0154558
       413       129.132      -1.28779      0.381353     -0.906433     0.0156773
       414       128.455      -1.28578      0.379353     -0.906432      0.015903
       415       127.734      -1.28365      0.377224      -0.90643     0.0161372
       416       126.982      -1.28143      0.375004     -0.906427     0.0163923
       417       126.217      -1.27917      0.372746     -0.906424     0.0166387
       418       125.462      -1.27693      0.370514     -0.906419     0.0168785
       419       124.741       -1.2748      0.368385     -0.906415     0.0171014
       420       124.083      -1.27285      0.366444     -0.906409     0.0172995
       421       123.518      -1.27118      0.364775     -0.906404     0.0174733
       422       123.074      -1.26986      0.363463     -0.906399     0.0176119
       423       122.775      -1.26897       0.36258     -0.906395     0.0177055
       424       122.641      -1.26858      0.362183     -0.906393     0.0177442
       425       122.684       -1.2687       0.36231     -0.906392     0.0177392
       426       122.908      -1.26937      0.362974     -0.906393     0.0176799
       427       123.309      -1.27055      0.364158     -0.906395      0.017566
       428       123.873      -1.27222      0.365821     -0.906399     0.0174029
       429       124.576       -1.2743      0.367899     -0.906405     0.0172047
       430       125.391      -1.27672      0.370306     -0.906411     0.0169694
       431       126.285      -1.27936      0.372945     -0.906418     0.0167044
       432        127.22      -1.28213      0.375706     -0.906425     0.0164293
       433       128.159      -1.28491       0.37848     -0.906432     0.0161494
       434       129.066       -1.2876      0.381157     -0.906438     0.0158699
       435       129.906      -1.29008      0.383638     -0.906444     0.0156163
       436       130.648      -1.29228      0.385832     -0.906449     0.0153792
       437       131.268      -1.29411      0.387661     -0.906453     0.0151644
       438       131.743      -1.29552      0.389065     -0.906455     0.0149956
       439       132.059      -1.29646      0.389999     -0.906457      0.014869
       440       132.208      -1.29689      0.390437     -0.906457     0.0147823
       441       132.186      -1.29683      0.390374     -0.906456      0.014743
       442           132      -1.29628      0.389823     -0.906455     0.0147466
       443       131.661      -1.29527      0.388823     -0.906451     0.0147868
       444       131.189      -1.29388      0.387429     -0.906447     0.0148636
       445        130.61      -1.29216      0.385719      -0.90644     0.0149704
       446       129.956      -1.29022      0.383786     -0.906434     0.0150958
       447       129.261      -1.28816      0.381734     -0.906426     0.0152323
       448       128.562      -1.28609      0.379671      -0.90642     0.0153671
       449       127.896      -1.28412      0.377704     -0.906414     0.0154956
       450       127.296      -1.28234      0.375931     -0.906409     0.0155961
       451        126.79      -1.28084      0.374437     -0.906405     0.0156825
       452         126.4      -1.27969      0.373286     -0.906402     0.0157426
       453        126.14      -1.27892      0.372518     -0.906401     0.0157693
       454       126.016      -1.27855      0.372151     -0.906401      0.015756
       455       126.027      -1.27859      0.372183     -0.906403     0.0157094
       456       126.167        -1.279      0.372596     -0.906405     0.0156295
       457       126.424      -1.27976      0.373356     -0.906408     0.0155175
       458       126.783      -1.28083      0.374416     -0.906411     0.0153792
       459       127.228      -1.28214      0.375729     -0.906414      0.015227
       460        127.74      -1.28366      0.377241     -0.906417     0.0150481
       461       128.301      -1.28532      0.378898      -0.90642     0.0148602
       462       128.893      -1.28707      0.380646     -0.906423     0.0146587
